VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=533,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 117.673 29.096 1.5 36 16.2805 32.561
POLYGON 73
117.673 29.125 9999
117.676 29.125 9999
117.678 29.125 9999
117.681 29.125 9999
117.684 29.125 9999
117.687 29.125 9999
117.69 29.125 9999
117.694 29.125 9999
117.695 29.1218 9999
117.695 29.1177 9999
117.685 29.1058 9999
117.685 29.1042 9999
117.685 29.1027 9999
117.685 29.1014 9999
117.685 29.1002 9999
117.685 29.0991 9999
117.685 29.0981 9999
117.685 29.097 9999
117.685 29.096 9999
117.685 29.095 9999
117.685 29.0939 9999
117.685 29.0929 9999
117.685 29.0918 9999
117.685 29.0906 9999
117.685 29.0893 9999
117.685 29.0878 9999
117.685 29.0862 9999
117.685 29.0843 9999
117.685 29.0821 9999
117.685 29.0793 9999
117.685 29.0758 9999
117.683 29.075 9999
117.681 29.075 9999
117.679 29.075 9999
117.677 29.075 9999
117.675 29.075 9999
117.673 29.055 9999
117.67 29.055 9999
117.666 29.055 9999
117.665 29.0649 9999
117.665 29.0731 9999
117.665 29.0781 9999
117.665 29.0816 9999
117.665 29.0841 9999
117.664 29.085 9999
117.662 29.085 9999
117.66 29.085 9999
117.658 29.085 9999
117.655 29.0854 9999
117.655 29.0875 9999
117.655 29.0893 9999
117.655 29.0911 9999
117.655 29.0928 9999
117.655 29.0944 9999
117.655 29.096 9999
117.655 29.0976 9999
117.655 29.0992 9999
117.655 29.1009 9999
117.655 29.1027 9999
117.655 29.1045 9999
117.658 29.105 9999
117.66 29.105 9999
117.663 29.105 9999
117.664 29.105 9999
117.665 29.1059 9999
117.665 29.1079 9999
117.665 29.1104 9999
117.665 29.1139 9999
117.665 29.1189 9999
117.666 29.125 9999
117.668 29.125 9999
117.671 29.125 9999
117.673 29.125 9999

VALUE 0 118.034 29.155 1.5 50.5 104.176 208.353
POLYGON 73
118.034 29.195 9999
118.038 29.205 9999
118.043 29.205 9999
118.045 29.1958 9999
118.049 29.195 9999
118.053 29.195 9999
118.057 29.195 9999
118.062 29.195 9999
118.068 29.195 9999
118.074 29.195 9999
118.082 29.195 9999
118.091 29.195 9999
118.095 29.1902 9999
118.095 29.1834 9999
118.095 29.1772 9999
118.085 29.1686 9999
118.085 29.164 9999
118.085 29.1595 9999
118.085 29.155 9999
118.085 29.1505 9999
118.085 29.146 9999
118.085 29.1414 9999
118.085 29.1365 9999
118.085 29.1312 9999
118.085 29.1256 9999
118.085 29.1193 9999
118.082 29.115 9999
118.075 29.1141 9999
118.075 29.1062 9999
118.075 29.0965 9999
118.069 29.095 9999
118.062 29.095 9999
118.056 29.095 9999
118.05 29.095 9999
118.045 29.095 9999
118.039 29.095 9999
118.034 29.105 9999
118.03 29.105 9999
118.025 29.105 9999
118.021 29.105 9999
118.016 29.105 9999
118.015 29.1141 9999
118.015 29.122 9999
118.02 29.135 9999
118.017 29.135 9999
118.014 29.135 9999
118.01 29.135 9999
118.006 29.135 9999
117.999 29.135 9999
117.991 29.135 9999
117.985 29.1371 9999
117.985 29.1419 9999
117.977 29.145 9999
117.965 29.149 9999
117.965 29.155 9999
117.965 29.161 9999
117.965 29.1672 9999
117.965 29.1735 9999
117.975 29.1765 9999
117.975 29.1825 9999
117.975 29.1891 9999
117.975 29.1964 9999
117.975 29.2046 9999
117.984 29.205 9999
117.992 29.205 9999
118.006 29.195 9999
118.011 29.195 9999
118.015 29.195 9999
118.02 29.195 9999
118.023 29.195 9999
118.027 29.195 9999
118.031 29.195 9999
118.034 29.195 9999

VALUE 0 118.144 29.1543 1.5 38 22.7931 45.5861
POLYGON 73
118.144 29.185 9999
118.147 29.195 9999
118.151 29.195 9999
118.155 29.195 9999
118.159 29.195 9999
118.163 29.195 9999
118.165 29.191 9999
118.165 29.1845 9999
118.165 29.1795 9999
118.165 29.1755 9999
118.155 29.1637 9999
118.155 29.1621 9999
118.155 29.1607 9999
118.155 29.1595 9999
118.155 29.1584 9999
118.155 29.1573 9999
118.155 29.1563 9999
118.155 29.1553 9999
118.155 29.1543 9999
118.155 29.1533 9999
118.155 29.1523 9999
118.155 29.1513 9999
118.155 29.1502 9999
118.155 29.1491 9999
118.155 29.1478 9999
118.155 29.1465 9999
118.155 29.1449 9999
118.155 29.1431 9999
118.155 29.141 9999
118.155 29.1383 9999
118.155 29.1349 9999
118.155 29.1303 9999
118.155 29.1235 9999
118.154 29.115 9999
118.151 29.115 9999
118.147 29.115 9999
118.144 29.115 9999
118.14 29.115 9999
118.137 29.115 9999
118.135 29.1214 9999
118.133 29.125 9999
118.13 29.125 9999
118.127 29.125 9999
118.125 29.1274 9999
118.125 29.1319 9999
118.125 29.1355 9999
118.125 29.1385 9999
118.125 29.1411 9999
118.125 29.1434 9999
118.125 29.1455 9999
118.125 29.1474 9999
118.125 29.1492 9999
118.125 29.151 9999
118.125 29.1526 9999
118.125 29.1543 9999
118.125 29.1559 9999
118.125 29.1576 9999
118.125 29.1593 9999
118.125 29.1611 9999
118.125 29.1631 9999
118.125 29.165 9999
118.129 29.165 9999
118.131 29.165 9999
118.133 29.165 9999
118.135 29.165 9999
118.135 29.1669 9999
118.135 29.1695 9999
118.135 29.1732 9999
118.135 29.1785 9999
118.136 29.185 9999
118.138 29.185 9999
118.141 29.185 9999
118.144 29.185 9999

VALUE 0 118.414 29.605 1.5 49.5 43.4151 86.8301
POLYGON 73
118.414 29.645 9999
118.417 29.645 9999
118.421 29.645 9999
118.424 29.645 9999
118.428 29.645 9999
118.432 29.645 9999
118.437 29.645 9999
118.442 29.645 9999
118.445 29.6422 9999
118.445 29.6363 9999
118.445 29.6312 9999
118.445 29.6269 9999
118.445 29.623 9999
118.445 29.6196 9999
118.445 29.6164 9999
118.435 29.6107 9999
118.435 29.6087 9999
118.435 29.6069 9999
118.435 29.605 9999
118.435 29.6031 9999
118.435 29.6013 9999
118.435 29.5993 9999
118.435 29.5973 9999
118.435 29.5951 9999
118.435 29.5927 9999
118.435 29.5901 9999
118.435 29.5872 9999
118.435 29.5837 9999
118.435 29.5797 9999
118.435 29.5746 9999
118.435 29.5682 9999
118.432 29.565 9999
118.428 29.565 9999
118.424 29.565 9999
118.421 29.565 9999
118.417 29.565 9999
118.414 29.565 9999
118.41 29.565 9999
118.407 29.565 9999
118.403 29.565 9999
118.399 29.565 9999
118.395 29.565 9999
118.391 29.565 9999
118.386 29.565 9999
118.385 29.5707 9999
118.385 29.5763 9999
118.385 29.5809 9999
118.385 29.5849 9999
118.385 29.5884 9999
118.385 29.5916 9999
118.385 29.5945 9999
118.385 29.5973 9999
118.385 29.5999 9999
118.385 29.6025 9999
118.385 29.605 9999
118.385 29.6075 9999
118.385 29.6101 9999
118.385 29.6127 9999
118.386 29.615 9999
118.392 29.615 9999
118.395 29.6158 9999
118.395 29.6181 9999
118.395 29.6207 9999
118.395 29.6237 9999
118.395 29.6273 9999
118.395 29.6318 9999
118.395 29.6375 9999
118.395 29.645 9999
118.399 29.645 9999
118.403 29.645 9999
118.407 29.645 9999
118.41 29.645 9999
118.414 29.645 9999

VALUE 0 119.258 29.7783 1.5 50 269.062 538.125
POLYGON 73
119.258 29.835 9999
119.263 29.835 9999
119.268 29.835 9999
119.273 29.835 9999
119.275 29.825 9999
119.28 29.825 9999
119.291 29.835 9999
119.298 29.835 9999
119.306 29.835 9999
119.315 29.835 9999
119.326 29.835 9999
119.339 29.835 9999
119.356 29.835 9999
119.38 29.835 9999
119.385 29.8245 9999
119.385 29.8123 9999
119.395 29.8025 9999
119.395 29.7903 9999
119.395 29.7783 9999
119.345 29.7707 9999
119.355 29.7612 9999
119.355 29.7523 9999
119.355 29.743 9999
119.365 29.7284 9999
119.365 29.7166 9999
119.355 29.7104 9999
119.345 29.705 9999
119.295 29.7414 9999
119.295 29.7343 9999
119.295 29.7256 9999
119.295 29.7143 9999
119.292 29.705 9999
119.285 29.705 9999
119.278 29.705 9999
119.271 29.705 9999
119.265 29.699 9999
119.258 29.695 9999
119.253 29.725 9999
119.249 29.725 9999
119.241 29.715 9999
119.235 29.715 9999
119.229 29.715 9999
119.222 29.715 9999
119.214 29.715 9999
119.205 29.7151 9999
119.205 29.7252 9999
119.205 29.7338 9999
119.168 29.715 9999
119.155 29.7188 9999
119.155 29.7302 9999
119.155 29.7408 9999
119.145 29.748 9999
119.145 29.7584 9999
119.145 29.7684 9999
119.145 29.7783 9999
119.145 29.7882 9999
119.135 29.8 9999
119.135 29.8113 9999
119.135 29.8231 9999
119.136 29.835 9999
119.16 29.835 9999
119.185 29.8295 9999
119.19 29.835 9999
119.201 29.835 9999
119.21 29.835 9999
119.218 29.835 9999
119.225 29.835 9999
119.232 29.835 9999
119.237 29.835 9999
119.243 29.835 9999
119.248 29.835 9999
119.253 29.835 9999
119.258 29.835 9999

VALUE 0 120.467 29.786 1.5 43 37.9878 75.9757
POLYGON 73
120.467 29.825 9999
120.471 29.825 9999
120.474 29.825 9999
120.475 29.8153 9999
120.478 29.815 9999
120.481 29.815 9999
120.484 29.815 9999
120.485 29.8115 9999
120.485 29.8073 9999
120.486 29.805 9999
120.49 29.805 9999
120.494 29.805 9999
120.495 29.8021 9999
120.495 29.799 9999
120.495 29.7961 9999
120.495 29.7935 9999
120.495 29.7909 9999
120.495 29.7884 9999
120.495 29.786 9999
120.505 29.7827 9999
120.505 29.7793 9999
120.505 29.7759 9999
120.505 29.7722 9999
120.505 29.7683 9999
120.504 29.765 9999
120.497 29.765 9999
120.492 29.765 9999
120.488 29.765 9999
120.485 29.7647 9999
120.485 29.7605 9999
120.485 29.7551 9999
120.482 29.755 9999
120.478 29.755 9999
120.475 29.755 9999
120.474 29.745 9999
120.471 29.745 9999
120.467 29.745 9999
120.464 29.755 9999
120.462 29.755 9999
120.459 29.755 9999
120.456 29.755 9999
120.455 29.76 9999
120.455 29.765 9999
120.452 29.765 9999
120.45 29.765 9999
120.446 29.765 9999
120.445 29.7674 9999
120.445 29.7705 9999
120.445 29.7732 9999
120.444 29.775 9999
120.437 29.775 9999
120.435 29.7774 9999
120.435 29.7803 9999
120.435 29.7832 9999
120.435 29.786 9999
120.435 29.7888 9999
120.435 29.7917 9999
120.425 29.7973 9999
120.425 29.8013 9999
120.426 29.805 9999
120.434 29.805 9999
120.435 29.8085 9999
120.435 29.813 9999
120.438 29.815 9999
120.443 29.815 9999
120.454 29.805 9999
120.455 29.807 9999
120.455 29.812 9999
120.457 29.815 9999
120.459 29.815 9999
120.462 29.815 9999
120.465 29.815 9999
120.467 29.825 9999

VALUE 0 120.737 29.8608 1.5 50.5 257.122 514.244
POLYGON 73
120.737 29.925 9999
120.743 29.925 9999
120.75 29.935 9999
120.76 29.945 9999
120.768 29.945 9999
120.781 29.955 9999
120.786 29.945 9999
120.795 29.9431 9999
120.8 29.935 9999
120.812 29.935 9999
120.815 29.9259 9999
120.825 29.9221 9999
120.825 29.9114 9999
120.832 29.905 9999
120.835 29.8963 9999
120.845 29.8896 9999
120.855 29.8815 9999
120.865 29.872 9999
120.865 29.8608 9999
120.865 29.8496 9999
120.845 29.8418 9999
120.834 29.835 9999
120.805 29.8362 9999
120.795 29.8339 9999
120.795 29.8275 9999
120.789 29.825 9999
120.785 29.8208 9999
120.785 29.8132 9999
120.784 29.805 9999
120.776 29.805 9999
120.77 29.805 9999
120.749 29.835 9999
120.747 29.835 9999
120.745 29.8324 9999
120.744 29.825 9999
120.741 29.825 9999
120.737 29.825 9999
120.733 29.815 9999
120.729 29.815 9999
120.722 29.805 9999
120.713 29.795 9999
120.707 29.795 9999
120.694 29.785 9999
120.677 29.775 9999
120.665 29.775 9999
120.652 29.775 9999
120.635 29.775 9999
120.635 29.7891 9999
120.625 29.7959 9999
120.618 29.805 9999
120.615 29.8163 9999
120.605 29.8253 9999
120.615 29.8392 9999
120.655 29.8536 9999
120.655 29.8608 9999
120.655 29.868 9999
120.657 29.875 9999
120.665 29.8802 9999
120.665 29.8871 9999
120.665 29.8946 9999
120.675 29.8968 9999
120.675 29.9045 9999
120.685 29.905 9999
120.693 29.905 9999
120.7 29.905 9999
120.705 29.9071 9999
120.706 29.915 9999
120.712 29.915 9999
120.715 29.9223 9999
120.72 29.925 9999
120.726 29.925 9999
120.732 29.925 9999
120.737 29.925 9999

VALUE 0 120.529 29.8188 1.5 43 17.3671 34.7341
POLYGON 73
120.529 29.835 9999
120.531 29.835 9999
120.532 29.835 9999
120.534 29.835 9999
120.535 29.8342 9999
120.535 29.8308 9999
120.535 29.8285 9999
120.535 29.8268 9999
120.535 29.8255 9999
120.536 29.825 9999
120.537 29.825 9999
120.538 29.825 9999
120.54 29.825 9999
120.543 29.825 9999
120.545 29.8244 9999
120.545 29.8229 9999
120.545 29.8215 9999
120.545 29.8201 9999
120.545 29.8188 9999
120.545 29.8174 9999
120.555 29.8142 9999
120.555 29.8119 9999
120.555 29.8094 9999
120.555 29.8068 9999
120.555 29.804 9999
120.555 29.8008 9999
120.555 29.7973 9999
120.553 29.795 9999
120.549 29.795 9999
120.546 29.795 9999
120.545 29.7917 9999
120.545 29.7852 9999
120.542 29.785 9999
120.538 29.785 9999
120.535 29.785 9999
120.531 29.795 9999
120.529 29.795 9999
120.527 29.795 9999
120.525 29.795 9999
120.525 29.8024 9999
120.525 29.8067 9999
120.525 29.8094 9999
120.525 29.8112 9999
120.525 29.8125 9999
120.525 29.8135 9999
120.525 29.8144 9999
120.525 29.815 9999
120.524 29.815 9999
120.523 29.815 9999
120.521 29.815 9999
120.519 29.815 9999
120.515 29.815 9999
120.515 29.8162 9999
120.515 29.8175 9999
120.515 29.8188 9999
120.515 29.82 9999
120.515 29.8213 9999
