VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=508,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 118.114 29.1152 1.5 36.5 60.781 121.562
POLYGON 73
118.114 29.155 9999
118.117 29.155 9999
118.121 29.155 9999
118.125 29.155 9999
118.128 29.155 9999
118.132 29.155 9999
118.137 29.155 9999
118.142 29.155 9999
118.145 29.1522 9999
118.145 29.1463 9999
118.149 29.145 9999
118.155 29.1439 9999
118.155 29.1389 9999
118.155 29.1343 9999
118.155 29.1301 9999
118.155 29.1262 9999
118.155 29.1224 9999
118.155 29.1188 9999
118.155 29.1152 9999
118.145 29.1125 9999
118.145 29.1097 9999
118.145 29.1069 9999
118.145 29.1039 9999
118.145 29.1007 9999
118.145 29.0972 9999
118.145 29.0934 9999
118.145 29.0891 9999
118.145 29.0841 9999
118.145 29.0781 9999
118.142 29.075 9999
118.137 29.075 9999
118.133 29.075 9999
118.129 29.075 9999
118.125 29.075 9999
118.121 29.075 9999
118.117 29.075 9999
118.114 29.075 9999
118.11 29.075 9999
118.107 29.075 9999
118.103 29.075 9999
118.099 29.075 9999
118.095 29.075 9999
118.091 29.075 9999
118.086 29.075 9999
118.08 29.075 9999
118.075 29.0763 9999
118.075 29.0825 9999
118.075 29.0879 9999
118.075 29.0927 9999
118.075 29.097 9999
118.075 29.101 9999
118.075 29.1047 9999
118.075 29.1083 9999
118.075 29.1118 9999
118.085 29.1152 9999
118.085 29.1177 9999
118.085 29.1203 9999
118.085 29.1229 9999
118.085 29.1257 9999
118.085 29.1287 9999
118.085 29.1319 9999
118.085 29.1354 9999
118.085 29.1395 9999
118.085 29.1441 9999
118.085 29.1497 9999
118.085 29.1565 9999
118.085 29.165 9999
118.091 29.165 9999
118.099 29.155 9999
118.103 29.155 9999
118.107 29.155 9999
118.11 29.155 9999
118.114 29.155 9999

VALUE 0 117.988 29.2256 1.5 57 81.395 162.79
POLYGON 73
117.988 29.265 9999
117.991 29.265 9999
117.995 29.265 9999
117.998 29.265 9999
118.002 29.265 9999
118.005 29.2629 9999
118.005 29.2557 9999
118.008 29.255 9999
118.012 29.255 9999
118.017 29.255 9999
118.023 29.255 9999
118.03 29.255 9999
118.039 29.255 9999
118.051 29.255 9999
118.055 29.2501 9999
118.045 29.241 9999
118.045 29.2357 9999
118.045 29.2306 9999
118.045 29.2256 9999
118.045 29.2206 9999
118.045 29.2155 9999
118.035 29.2129 9999
118.035 29.2083 9999
118.035 29.2035 9999
118.035 29.1982 9999
118.035 29.1924 9999
118.035 29.1858 9999
118.035 29.1782 9999
118.03 29.175 9999
118.023 29.175 9999
